,alternative_names,reference_mass_ratio,reference_dimensionless_spin1,reference_dimensionless_spin2,remnant_mass,keyword1,keyword2,keyword3,reference_dimensionless_spin1_1,reference_dimensionless_spin1_2,reference_dimensionless_spin1_3,reference_dimensionless_spin2_1,reference_dimensionless_spin2_2,reference_dimensionless_spin2_3,precessing,notspinning,s1,s2,eta
0,SXS:BBH:0001,0.9999999899440031,"[7.09752141352e-10, -6.66051760901e-10, 1.2093092180399998e-07]","[5.84453420303e-10, 1.3050444511300001e-09, 1.2219691541399998e-07]",0.951609417715,Non-Spinning,ManyMergers-QuasiCircular,,7.09752141352e-10,-6.66051760901e-10,1.2093092180399998e-07,5.84453420303e-10,1.3050444511300001e-09,1.2219691541399998e-07,0,1,1.209348387414293e-07,1.2220528165147444e-07,0.25
1,SXS:BBH:0002,0.9999999983300001,"[6.50756283834e-10, -3.03798339473e-10, 9.48400673307e-08]","[1.0426889812e-09, 1.04066536466e-09, 9.3147982293e-08]",0.951609624635,Non-Spinning,ManyMergers-QuasiCircular,,6.50756283834e-10,-3.03798339473e-10,9.48400673307e-08,1.0426889812e-09,1.04066536466e-09,9.3147982293e-08,0,1,9.484278648618315e-08,9.315963068824263e-08,0.25
2,SXS:BBH:0003,1.000439699243882,"[0.496597740224, 0.0527490759398, -0.000292513205639]","[5.75293372557e-08, 4.6481088458799994e-08, 8.52095807144e-08]",0.951082695452,Precessing-Spins,ManyMergers-QuasiCircular,,0.496597740224,0.0527490759398,-0.000292513205639,5.75293372557e-08,4.6481088458799994e-08,8.52095807144e-08,1,0,0.49939149589481563,1.1283079754623163e-07,0.24999998792184727
3,SXS:BBH:0004,1.000459154014372,"[-2.42442769925e-12, -1.4491686503799997e-11, -0.49950199999899997]","[-1.0905042969900002e-09, -8.823381842080001e-10, 1.40554629323e-07]",0.957720872946,Aligned-Spins,ManyMergers-QuasiCircular,,-2.42442769925e-12,-1.4491686503799997e-11,-0.49950199999899997,-1.0905042969900002e-09,-8.823381842080001e-10,1.40554629323e-07,0,0,0.49950199999899997,1.4056162899034358e-07,0.24999998682964727
4,SXS:BBH:0005,1.000460131871106,"[-3.64677447744e-12, 1.61608392481e-11, 0.499507999998]","[-2.2702708721800004e-09, -1.5431031390999999e-09, 1.0333519022599999e-07]",0.9438854002899999,Aligned-Spins,ManyMergers-QuasiCircular,,-3.64677447744e-12,1.61608392481e-11,0.499507999998,-2.2702708721800004e-09,-1.5431031390999999e-09,1.0333519022599999e-07,0,0,0.499507999998,1.0337164425593013e-07,0.24999998677350294
5,SXS:BBH:0006,1.3450980138969482,"[0.233999919925, 0.147679673684, -0.161079527819]","[0.0911301985338, 0.0640104653757, -0.101046126316]",0.956545323918,Precessing-Spins,ManyMergers-QuasiCircular,,0.233999919925,0.147679673684,-0.161079527819,0.0911301985338,0.0640104653757,-0.101046126316,1,0,0.32017473795837037,0.15037410816324903,0.24458619098855822
6,SXS:BBH:0007,1.4999992798629511,"[-5.975351627830001e-10, -4.37418262032e-10, 8.64427645114e-08]","[3.1975684812e-10, -1.5796393797000002e-10, 1.5536388909799997e-07]",0.955269623847,Non-Spinning,ManyMergers-QuasiCircular,,-5.975351627830001e-10,-4.37418262032e-10,8.64427645114e-08,3.1975684812e-10,-1.5796393797000002e-10,1.5536388909799997e-07,0,1,8.644593639599306e-08,1.553642984494934e-07,0.24000002304437887
7,SXS:BBH:0008,1.499998975000875,"[-1.71655005639e-09, -7.406685725570001e-10, 1.47347113534e-07]","[-4.20259055639e-09, -7.113910274450001e-09, 2.3676541466099998e-07]",0.955267129967,Non-Spinning,ManyMergers-QuasiCircular,,-1.71655005639e-09,-7.406685725570001e-10,1.47347113534e-07,-4.20259055639e-09,-7.113910274450001e-09,2.3676541466099998e-07,0,1,1.473589732620038e-07,2.3690954194876332e-07,0.2400000327999585
8,SXS:BBH:0009,1.500684418192987,"[-2.37902937782e-12, 2.83657568796e-11, 0.499512906015]","[-5.4100052218e-09, -1.7847324135300002e-09, 4.11085265413e-07]",0.9446085358299999,Aligned-Spins,ManyMergers-QuasiCircular,,-2.37902937782e-12,2.83657568796e-11,0.499512906015,-5.4100052218e-09,-1.7847324135300002e-09,4.11085265413e-07,0,0,0.499512906015,4.1112473638296744e-07,0.23997809262686484
9,SXS:BBH:0010,1.5006935311406622,"[0.247781870677, 0.0284336026317, -0.43285531090199997]","[-4.2671574285800004e-08, 3.38011905263e-08, 3.7780496390999996e-07]",0.9615750979509999,Precessing-Spins,ManyMergers-QuasiCircular,,0.247781870677,0.0284336026317,-0.43285531090199997,-4.2671574285800004e-08,3.38011905263e-08,3.7780496390999996e-07,1,0,0.4995678586247098,3.8170666026159427e-07,0.2399778008520065
