,alternative_names,reference_mass_ratio,reference_dimensionless_spin1,reference_dimensionless_spin2,remnant_mass,remnant_dimensionless_spin,keyword1,keyword2,keyword3,reference_chi_eff,reference_chi1_perp,reference_chi2_perp,reference_mass1,reference_mass2,reference_dimensionless_spin1_1,reference_dimensionless_spin1_2,reference_dimensionless_spin1_3,reference_dimensionless_spin2_1,reference_dimensionless_spin2_2,reference_dimensionless_spin2_3,remnant_dimensionless_spin_1,remnant_dimensionless_spin_2,remnant_dimensionless_spin_3,precessing,notspinning,s1,s2,eta,s1_sum,s2_sum,s3_sum,m1+m2,seff
0,SXS:BBH:0001,0.9999999899440031,"[7.09752141352e-10, -6.66051760901e-10, 1.2093092180399998e-07]","[5.84453420303e-10, 1.3050444511300001e-09, 1.2219691541399998e-07]",0.951609417715,"[-7.29520687012e-10, 7.40468371215e-10, 0.6864616764929999]",Non-Spinning,ManyMergers-QuasiCircular,,1.215639186121761e-07,9.733308972643856e-10,1.429939452591594e-09,0.500000161328,0.500000166356,7.09752141352e-10,-6.66051760901e-10,1.2093092180399998e-07,5.84453420303e-10,1.3050444511300001e-09,1.2219691541399998e-07,-7.29520687012e-10,7.40468371215e-10,0.6864616764929999,0,1,1.209348387414293e-07,1.2220528165147444e-07,0.25,1.2942055616550001e-09,6.389926902290001e-10,2.4312783721799994e-07,1.000000327684,4.862645617024618e-07
1,SXS:BBH:0002,0.9999999983300001,"[6.50756283834e-10, -3.03798339473e-10, 9.48400673307e-08]","[1.0426889812e-09, 1.04066536466e-09, 9.3147982293e-08]",0.951609624635,"[3.7521879808300004e-10, 1.3261440201800001e-09, 0.686447876542]",Non-Spinning,ManyMergers-QuasiCircular,,9.399402481113427e-08,7.181762775091925e-10,1.4731546838344871e-09,0.50000014488,0.500000145715,6.50756283834e-10,-3.03798339473e-10,9.48400673307e-08,1.0426889812e-09,1.04066536466e-09,9.3147982293e-08,3.7521879808300004e-10,1.3261440201800001e-09,0.686447876542,0,1,9.484278648618315e-08,9.315963068824263e-08,0.25,1.693445265034e-09,7.36867025187e-10,1.879880496237e-07,1.000000290595,3.7599446066740627e-07
2,SXS:BBH:0003,1.000439699243882,"[0.496597740224, 0.0527490759398, -0.000292513205639]","[5.75293372557e-08, 4.6481088458799994e-08, 8.52095807144e-08]",0.951082695452,"[0.0664601205164, 0.00957605779857, 0.691447175396]",Precessing-Spins,ManyMergers-QuasiCircular,,0.000270717874278,0.499391202605846,7.428879867958236e-08,0.500219790598,0.499999941002,0.496597740224,0.0527490759398,-0.000292513205639,5.75293372557e-08,4.6481088458799994e-08,8.52095807144e-08,0.0664601205164,0.00957605779857,0.691447175396,1,0,0.49939149589481563,1.1283079754623163e-07,0.24999998792184727,0.49659779775333723,0.05274912242088846,-0.0002924279960582856,1.0002197316,0.9992222372741906
3,SXS:BBH:0004,1.000459154014372,"[-2.42442769925e-12, -1.4491686503799997e-11, -0.49950199999899997]","[-1.0905042969900002e-09, -8.823381842080001e-10, 1.40554629323e-07]",0.957720872946,"[9.137655864779999e-10, -3.7730100153799996e-10, 0.608209224498]",Aligned-Spins,ManyMergers-QuasiCircular,,-0.24980825366518103,5.0181062560355535e-11,1.4027545415598371e-09,0.500229600569,0.500000023551,-2.42442769925e-12,-1.4491686503799997e-11,-0.49950199999899997,-1.0905042969900002e-09,-8.823381842080001e-10,1.40554629323e-07,9.137655864779999e-10,-3.7730100153799996e-10,0.608209224498,0,0,0.49950199999899997,1.4056162899034358e-07,0.24999998682964727,-1.0929287246892502e-09,-8.968298707118e-10,-0.49950185944437064,1.0002296241200002,0.999462720405651
4,SXS:BBH:0005,1.000460131871106,"[-3.64677447744e-12, 1.61608392481e-11, 0.499507999998]","[-2.2702708721800004e-09, -1.5431031390999999e-09, 1.0333519022599999e-07]",0.9438854002899999,"[-3.59606685604e-11, -4.6665337090400004e-09, 0.760697507735]",Aligned-Spins,ManyMergers-QuasiCircular,,0.24981149832585603,6.905084298658798e-11,2.7450495689050384e-09,0.500229910358,0.499999844494,-3.64677447744e-12,1.61608392481e-11,0.499507999998,-2.2702708721800004e-09,-1.5431031390999999e-09,1.0333519022599999e-07,-3.59606685604e-11,-4.6665337090400004e-09,0.760697507735,0,0,0.499507999998,1.0337164425593013e-07,0.24999998677350294,-2.2739176466574405e-09,-1.5269422998519e-09,0.49950810333319023,1.000229754852,0.9994754752032117
5,SXS:BBH:0006,1.3450980138969482,"[0.233999919925, 0.147679673684, -0.161079527819]","[0.0911301985338, 0.0640104653757, -0.101046126316]",0.956545323918,"[0.0509404665516, 0.030144213296, 0.632887138832]",Precessing-Spins,ManyMergers-QuasiCircular,,-0.135090220113118,0.277032762444686,0.11150335777148,0.573607077412,0.426442587444,0.233999919925,0.147679673684,-0.161079527819,0.0911301985338,0.0640104653757,-0.101046126316,0.0509404665516,0.030144213296,0.632887138832,1,0,0.32017473795837037,0.15037410816324903,0.24458619098855822,0.3251301184588,0.21169013905970002,-0.262125654135,1.000049664856,0.9166827985036744
6,SXS:BBH:0007,1.4999992798629511,"[-5.975351627830001e-10, -4.37418262032e-10, 8.64427645114e-08]","[3.1975684812e-10, -1.5796393797000002e-10, 1.5536388909799997e-07]",0.955269623847,"[3.0563361236200003e-09, 1.6463032107600002e-08, 0.664090940995]",Non-Spinning,ManyMergers-QuasiCircular,,1.1401122228726279e-07,7.405288694119734e-10,3.5664695667637233e-10,0.600000088412,0.400000250978,-5.975351627830001e-10,-4.37418262032e-10,8.64427645114e-08,3.1975684812e-10,-1.5796393797000002e-10,1.5536388909799997e-07,3.0563361236200003e-09,1.6463032107600002e-08,0.664090940995,0,1,8.644593639599306e-08,1.553642984494934e-07,0.24000002304437887,-2.777783146630001e-10,-5.953822000020001e-10,2.4180665360939997e-07,1.00000033939,4.6501484438676377e-07
7,SXS:BBH:0008,1.499998975000875,"[-1.71655005639e-09, -7.406685725570001e-10, 1.47347113534e-07]","[-4.20259055639e-09, -7.113910274450001e-09, 2.3676541466099998e-07]",0.955267129967,"[5.37191132331e-08, 2.73061848107e-08, 0.6640907185079999]",Non-Spinning,ManyMergers-QuasiCircular,,1.831144486488358e-07,1.869527741994627e-09,8.26253517787713e-09,0.600000102526,0.400000341684,-1.71655005639e-09,-7.406685725570001e-10,1.47347113534e-07,-4.20259055639e-09,-7.113910274450001e-09,2.3676541466099998e-07,5.37191132331e-08,2.73061848107e-08,0.6640907185079999,0,1,1.473589732620038e-07,2.3690954194876332e-07,0.2400000327999585,-5.91914061278e-09,-7.854578847007001e-09,3.84112528195e-07,1.00000044421,7.389207415240365e-07
8,SXS:BBH:0009,1.500684418192987,"[-2.37902937782e-12, 2.83657568796e-11, 0.499512906015]","[-5.4100052218e-09, -1.7847324135300002e-09, 4.11085265413e-07]",0.9446085358299999,"[-4.1716949519000006e-08, -8.973360134760001e-09, 0.781566173776]",Aligned-Spins,ManyMergers-QuasiCircular,,0.29976259314238,1.206288703117602e-10,5.696790889329581e-09,0.600274370923,0.400000402247,-2.37902937782e-12,2.83657568796e-11,0.499512906015,-5.4100052218e-09,-1.7847324135300002e-09,4.11085265413e-07,-4.1716949519000006e-08,-8.973360134760001e-09,0.781566173776,0,0,0.499512906015,4.1112473638296744e-07,0.23997809262686484,-5.41238425117782e-09,-1.7563666566504002e-09,0.4995133171002654,1.00027477317,0.9610090760495686
9,SXS:BBH:0010,1.5006935311406622,"[0.247781870677, 0.0284336026317, -0.43285531090199997]","[-4.2671574285800004e-08, 3.38011905263e-08, 3.7780496390999996e-07]",0.9615750979509999,"[0.061685655075400005, 0.0107823070908, 0.559801700166]",Precessing-Spins,ManyMergers-QuasiCircular,,-0.25960375929650703,0.24986229699915002,5.688517089832341e-08,0.600277912813,0.400000333417,0.247781870677,0.0284336026317,-0.43285531090199997,-4.2671574285800004e-08,3.38011905263e-08,3.7780496390999996e-07,0.061685655075400005,0.0107823070908,0.559801700166,1,0,0.4995678586247098,3.8170666026159427e-07,0.2399778008520065,0.24778182800542572,0.028433636432890527,-0.43285493309703604,1.00027824623,0.9611184277957765
